question,option1,option2,option3,answer
Koji klub ima najviše Serie A titula?,Juventus,Milan,Inter,Juventus
Koji igrač je osvojio Zlatnu kopačku SP 2018?,Kane,Mbappe,Griezmann,Kane
Koji igrač je dao gol u finalu 1994?,Romario,Baggio,Bebeto,Romario
Koja država je osvojila WC 1974?,Njemačka,Nizozemska,Brazil,Njemačka
Koji igrač je bio poznat kao "Der Kaiser"?,Beckenbauer,Muller,Klose,Beckenbauer
Koji igrač ima najviše nastupa na SP?,Matthaus,Messi,Ronaldo,Matthaus
Koji klub je osvojio treble 1999?,Man United,Barcelona,Bayern,Man United
Koji igrač je zabio pobjednički gol 1999 finala?,Solskjaer,Beckham,Giggs,Solskjaer
Koji igrač je bio kapetan Njemačke 2014?,Lahm,Neuer,Muller,Lahm
Koji igrač je osvojio Zlatnu rukavicu 2018?,Courtois,Lloris,Pickford,Courtois
Koja država je osvojila WC 1966?,Engleska,Njemačka,Brazil,Engleska
Koji stadion je Wembley?,London,Manchester,Liverpool,London
Koji igrač je zabio gol u finalu 1966?,Hurst,Charlton,Banks,Hurst
Koji igrač ima najviše golova za reprezentaciju?,Ronaldo,Messi,Ali Daei,Ronaldo
Koji klub ima stadion Signal Iduna Park?,Dortmund,Bayern,Leipzig,Dortmund
Koji igrač je bio poznat kao "Il Capitano"?,Totti,Del Piero,Maldini,Totti
Koji igrač je bio najbolji strijelac WC 1998?,Suker,Ronaldo,Henry,Suker
Koji igrač je iz Hrvatske osvojio Zlatnu kopačku?,Suker,Modric,Rakitic,Suker
Koji klub ima stadion Olimpico?,Roma,Lazio,Oba,Roma
Koji igrač je dao penal u finalu 2006 za Italiju?,Grosso,Pirlo,Totti,Grosso
Koji igrač je dao odlučujući penal za Italiju 2006?,Grosso,Del Piero,Pirlo,Grosso
Koji klub je osvojio Ligu prvaka 2010?,Inter,Bayern,Barcelona,Inter
Koji trener je vodio Inter 2010?,Mourinho,Guardiola,Ancelotti,Mourinho
Koji klub je osvojio Ligu prvaka 2013?,Bayern,Dortmund,Real,Bayern
Koji igrač je dao gol u finalu 2013?,Robben,Ribery,Muller,Robben
Koji klub je osvojio Ligu prvaka 2020?,Bayern,PSG,City,Bayern
Koji igrač je dao gol u finalu 2020?,Coman,Lewandowski,Muller,Coman
Koji klub je osvojio Ligu prvaka 2021?,Chelsea,City,PSG,Chelsea
Koji igrač je dao gol u finalu 2021?,Havertz,Mount,Werner,Havertz
Koji klub je osvojio Ligu prvaka 2022?,Real Madrid,Liverpool,City,Real Madrid
Koji igrač je dao gol u finalu 2022?,Vinicius,Benzema,Modric,Vinicius
Koji klub je osvojio Ligu prvaka 2023?,Man City,Inter,Real,Man City
Koji igrač je dao gol u finalu 2023?,Rodri,Haaland,De Bruyne,Rodri
Koji igrač ima najviše golova u Ligi prvaka?,Ronaldo,Messi,Lewandowski,Ronaldo
Koji igrač ima najviše asistencija u LP?,Ronaldo,Messi,Di Maria,Ronaldo
Koji klub ima najviše finala LP?,Real Madrid,Bayern,Milan,Real Madrid
Koji igrač je bio najbolji igrač Euro 2012?,Iniesta,Xavi,Ronaldo,Iniesta
Koji igrač je dao gol u finalu Euro 2012?,Torres,Iniesta,Xavi,Torres
Koja država je osvojila Euro 2008?,Španjolska,Njemačka,Italija,Španjolska
Koji igrač je bio najbolji strijelac Euro 2008?,Villa,Torres,Ronaldo,Villa
Koji igrač je bio najbolji igrač Euro 2004?,Zagorakis,Figo,Ronaldo,Zagorakis
Koja država je osvojila Euro 2004?,Grčka,Portugal,Francuska,Grčka
Koji igrač je dao gol u finalu Euro 2004?,Charisteas,Figo,Deco,Charisteas
Koji klub je osvojio LP 2005?,Liverpool,Milan,Chelsea,Liverpool
Koji igrač je dao gol u finalu 2005?,Gerrard,Shevchenko,Kaka,Gerrard
Koji klub je izgubio finale 2005?,Milan,Liverpool,Chelsea,Milan
Koji klub je osvojio LP 2007?,Milan,Liverpool,Real,Milan
Koji igrač je dao gol u finalu 2007?,Inzaghi,Kaka,Seedorf,Inzaghi
Koji igrač ima nadimak "King James"?,James Rodriguez,Bale,Hazard,James Rodriguez
Koji igrač je bio najbolji strijelac WC 2010?,Muller,Forlan,Iniesta,Muller
Koji igrač je bio najbolji igrač WC 2010?,Forlan,Xavi,Iniesta,Forlan
Koji igrač je bio najbolji golman WC 2010?,Casillas,Neuer,Buffon,Casillas
Koja država je osvojila WC 1958?,Brazil,Švedska,Njemačka,Brazil
Koji igrač je zabio u finalu 1958?,Pele,Garrincha,Ronaldo,Pele
Koji igrač je bio najbolji 1958?,Pele,Garrincha,Zico,Pele
Koja država je osvojila WC 1970?,Brazil,Italija,Njemačka,Brazil
Koji igrač je bio najbolji 1970?,Pele,Jairzinho,Rivelino,Pele
Koji klub ima stadion Maracana?,Brazil,Flamengo,Vasco,Flamengo
Koji igrač je poznat kao "O Fenomeno"?,Ronaldo Nazario,Ronaldinho,Neymar,Ronaldo Nazario
Koji igrač je poznat kao "Ronaldinho"?,Ronaldo Gaucho,Ronaldo,Pele,Ronaldo Gaucho
Koji igrač je bio najbolji igrač WC 2002?,Kahn,Ronaldo,Rivaldo,Kahn
Koji igrač je bio najbolji strijelac WC 2002?,Ronaldo,Rivaldo,Klose,Ronaldo
Koji igrač je bio kapetan Brazila 2002?,Cafu,Ronaldo,Rivaldo,Cafu
Koji igrač ima najviše golova na jednom SP?,Fontaine,Pele,Klose,Fontaine
Koji igrač je zabio 13 golova na SP 1958?,Fontaine,Pele,Garrincha,Fontaine
